ID,LINE,STATIONA,STATIONB,UNIMPEDED,PEAK,OFFPEAK
229,7,FRD,BST,6.13,7.11,6.4
230,7,FRD,HOH,11.02,11,11
231,6,FRD,SWC,1.18,1.5,1.5
232,6,FRD,WHD,1.2,1.5,1.51
233,7,FRD,WPK,7.05,6.95,7
234,8,FYC,EFY,3.37,3.5,3.5
235,8,FYC,MHE,2.98,2.5,2.5
236,8,FYC,WFY,2.1,2,2
237,2,GFD,NHT,2.15,2.37,2.28
238,2,GFD,PER,1.85,2.33,2.25
239,8,GGR,BTX,2.22,2.5,2.5
240,8,GGR,HMP,3.42,3.5,3.5
241,2,GHL,NEP,2.68,3.06,2.98
242,2,GHL,RED,1.7,2,2
243,5,GLR,HMS,2.43,3.07,3.03
244,5,GLR,SBM,1.15,1.5,1.5
245,6,GPK,BDS,1.82,2.5,2.5
246,9,GPK,HPC,1.73,2.48,2.02
247,10,GPK,OXC,1.97,2.47,2.02
248,9,GPK,PIC,1.1,1.5,1.5
249,10,GPK,VIC,1.88,2.5,2.54
250,6,GPK,WMS,1.87,2.5,2.5
251,7,GPS,BST,2.23,4.08,3.82
252,5,GPS,BST,1.57,2.9,2.07
253,3,GPS,BST,1.57,2.9,2.07
254,7,GPS,ESQ,1.25,1.5,1.5
255,5,GPS,ESQ,1.25,1.5,1.5
256,3,GPS,ESQ,1.25,1.5,1.5
257,9,GRD,ECT,1.37,1.5,1.5
258,4,GRD,ECT,1.82,3.04,3.59
259,3,GRD,HST,2.23,3.98,2.92
260,9,GRD,SKN,1.28,1.5,1.5
261,4,GRD,SKN,1.43,1.5,1.5
262,3,GRD,SKN,1.43,1.5,1.5
263,2,GRH,CHG,1.63,2,2
264,2,GRH,HAI,1.7,5.28,4.32
265,8,GST,TCR,1.32,1.73,1.5
266,8,GST,WST,1.07,1.5,1.5
267,4,GUN,KEW,2.43,2.5,2.5
268,4,GUN,TGR,2.6,4.02,3.67
269,2,HAI,FLP,1.82,2,2
270,2,HAI,GRH,1.73,1.89,1.79
271,1,HAW,KNT,2.23,2.5,2.5
