ID,LINE,STATIONA,STATIONB,UNIMPEDED,PEAK,OFFPEAK
688,4,WHM,PLW,1.43,2.04,2
689,6,WHM,SFD,3.15,4.9,3.77
690,7,WHR,HOH,2.15,3.85,4
691,7,WHR,RLN,2.05,2.57,2.5
692,1,WJN,HSD,1.63,2,2
693,1,WJN,KGN,2.47,2.5,2.5
694,4,WKN,BCT,1.32,1.5,1.5
695,4,WKN,ECT,2.17,2.63,3.3
696,6,WLG,DHL,1.67,2,2
697,6,WLG,KIL,1.68,2,2
698,11,WLO,BNK,4.87,4,4
699,8,WLO,EMB,1.4,2,2
700,1,WLO,EMB,1.22,1.5,1.5
701,8,WLO,KEN,2.97,3.96,3.4
702,1,WLO,LAM,1.45,2,2
703,6,WLO,SWK,1.02,1,1
704,6,WLO,WMS,1.43,2.44,2.01
705,4,WMP,SFS,2.18,2,2
706,4,WMP,WDN,3.5,3.02,3.08
707,4,WMS,EMB,1.37,2,2
708,3,WMS,EMB,1.37,2,2
709,6,WMS,GPK,1.82,2,2.01
710,4,WMS,SJP,1.52,1.5,1.5
711,3,WMS,SJP,1.52,1.5,1.5
712,6,WMS,WLO,1.38,2,2
713,7,WPK,FRD,7,7.32,7.52
714,6,WPK,KBY,3.47,4,4
715,6,WPK,NEA,2.6,3.03,3.01
716,7,WPK,PRR,2.12,2.5,2.5
717,2,WRP,RUG,2.28,2.57,2.5
718,8,WSP,TOT,2.23,2.5,2.5
719,8,WSP,WFY,1.7,1.5,1.5
720,10,WST,EUS,1.32,1.5,1.5
721,8,WST,EUS,1.18,1.5,1.5
722,8,WST,GST,1.07,1.5,1.5
723,10,WST,OXC,1.72,2.44,2
724,9,COV,HOL,1.4,1.5,1.5
725,9,COV,LSQ,0.77,1,1
726,7,CRX,MPK,4.42,4,4
727,7,CRX,WAT,3.6,3.6,3.5
